datetime,open,high,low,close,volume
2025-04-23 16:47:00,93635.0,93650.0,93617.0,93626.0,5.60984
2025-04-23 16:48:00,93629.0,93641.0,93556.0,93569.0,29.37676
2025-04-23 16:49:00,93568.0,93660.0,93555.0,93634.0,106.11329
2025-04-23 16:50:00,93629.0,93700.0,93574.0,93642.0,15.64457
2025-04-23 16:51:00,93625.0,93689.0,93613.0,93671.0,15.30917
2025-04-23 16:52:00,93672.0,93713.0,93669.0,93695.0,19.46138
2025-04-23 16:53:00,93693.0,93693.0,93627.0,93670.0,23.28546
2025-04-23 16:54:00,93672.0,93713.0,93672.0,93713.0,23.93226
2025-04-23 16:55:00,93713.0,93713.0,93661.0,93667.0,9.78763
2025-04-23 16:56:00,93663.0,93685.0,93653.0,93684.0,2.36416
2025-04-23 16:57:00,93686.0,93693.0,93560.0,93561.0,15.58253
2025-04-23 16:58:00,93561.0,93652.0,93561.0,93616.0,16.31004
2025-04-23 16:59:00,93616.0,93628.0,93615.0,93621.0,5.82277
2025-04-23 17:00:00,93621.0,93656.0,93512.0,93645.0,50.2585
2025-04-23 17:01:00,93645.0,93713.0,93644.0,93707.0,22.55726
2025-04-23 17:02:00,93708.0,93792.0,93706.0,93792.0,21.2944
2025-04-23 17:03:00,93792.0,93819.0,93768.0,93768.0,40.67182
2025-04-23 17:04:00,93769.0,93788.0,93762.0,93788.0,12.19226
2025-04-23 17:05:00,93788.0,93871.0,93787.0,93871.0,23.82687
2025-04-23 17:06:00,93871.0,93871.0,93787.0,93834.0,40.69902
2025-04-23 17:07:00,93835.0,93835.0,93821.0,93829.0,25.62002
2025-04-23 17:08:00,93829.0,93865.0,93829.0,93862.0,16.27169
2025-04-23 17:09:00,93861.0,93913.0,93859.0,93866.0,17.29153
2025-04-23 17:10:00,93866.0,93908.0,93839.0,93850.0,36.10153
2025-04-23 17:11:00,93847.0,93847.0,93795.0,93821.0,32.54018
2025-04-23 17:12:00,93822.0,93858.0,93821.0,93824.0,35.93574
2025-04-23 17:13:00,93825.0,93847.0,93803.0,93821.0,22.06637
2025-04-23 17:14:00,93820.0,93852.0,93811.0,93837.0,19.69987
2025-04-23 17:15:00,93834.0,93860.0,93780.0,93809.0,27.50838
2025-04-23 17:16:00,93809.0,93832.0,93765.0,93800.0,24.22768
2025-04-23 17:17:00,93801.0,93809.0,93794.0,93795.0,11.91375
2025-04-23 17:18:00,93795.0,93797.0,93789.0,93797.0,27.49208
2025-04-23 17:19:00,93796.0,93860.0,93796.0,93843.0,26.97036
2025-04-23 17:20:00,93844.0,93901.0,93843.0,93901.0,4.76799
2025-04-23 17:21:00,93901.0,93901.0,93773.0,93861.0,8.57717
2025-04-23 17:22:00,93860.0,93861.0,93785.0,93794.0,5.57723
2025-04-23 17:23:00,93794.0,93839.0,93772.0,93772.0,20.92457
2025-04-23 17:24:00,93779.0,93793.0,93751.0,93756.0,22.66965
2025-04-23 17:25:00,93758.0,93821.0,93750.0,93805.0,35.83807
2025-04-23 17:26:00,93805.0,93805.0,93685.0,93692.0,44.56549
2025-04-23 17:27:00,93692.0,93796.0,93692.0,93796.0,9.09975
2025-04-23 17:28:00,93795.0,93798.0,93770.0,93771.0,6.10925
2025-04-23 17:29:00,93771.0,93771.0,93722.0,93733.0,8.55552
2025-04-23 17:30:00,93733.0,93798.0,93733.0,93798.0,8.81314
2025-04-23 17:31:00,93799.0,93849.0,93784.0,93788.0,4.51673
2025-04-23 17:32:00,93788.0,93790.0,93781.0,93782.0,2.61023
2025-04-23 17:33:00,93781.0,93781.0,93725.0,93725.0,5.73194
2025-04-23 17:34:00,93724.0,93724.0,93629.0,93629.0,36.80401
2025-04-23 17:35:00,93629.0,93629.0,93568.0,93625.0,104.2551
2025-04-23 17:36:00,93620.0,93638.0,93609.0,93637.0,3.92104
2025-04-23 17:37:00,93638.0,93638.0,93543.0,93570.0,28.24922
2025-04-23 17:38:00,93571.0,93626.0,93571.0,93626.0,12.64914
2025-04-23 17:39:00,93625.0,93659.0,93590.0,93654.0,12.36915
2025-04-23 17:40:00,93655.0,93660.0,93602.0,93603.0,12.42808
2025-04-23 17:41:00,93604.0,93618.0,93578.0,93618.0,9.82662
2025-04-23 17:42:00,93617.0,93618.0,93589.0,93616.0,12.32318
2025-04-23 17:43:00,93617.0,93690.0,93616.0,93690.0,11.81212
2025-04-23 17:44:00,93681.0,93782.0,93681.0,93749.0,6.22602
2025-04-23 17:45:00,93749.0,93750.0,93697.0,93697.0,7.40771
